H2         NH3
4.9165e+22 4.7687e+14
4.9144e+22 4.7688e+14
4.9139e+22 4.7689e+14
4.9133e+22 4.7689e+14
4.9125e+22 4.7689e+14
4.9115e+22 4.7690e+14
4.9102e+22 4.7691e+14
4.9087e+22 4.7692e+14
4.9067e+22 4.7693e+14
4.9043e+22 4.7694e+14
4.9013e+22 4.7696e+14
4.8975e+22 4.7699e+14
4.8928e+22 4.7702e+14
4.8869e+22 4.7705e+14
4.8796e+22 4.7710e+14
4.8704e+22 4.7716e+14
4.8590e+22 4.7723e+14
4.8447e+22 4.7732e+14
4.8271e+22 4.7744e+14
4.8050e+22 4.7759e+14
4.7777e+22 4.7778e+14
4.7439e+22 4.7802e+14
4.7021e+22 4.7833e+14
4.6507e+22 4.7873e+14
4.5878e+22 4.7924e+14
4.5113e+22 4.7991e+14
4.4183e+22 4.8078e+14
4.3059e+22 4.8192e+14
4.1713e+22 4.8340e+14
4.0094e+22 4.8533e+14
3.8193e+22 4.8779e+14
3.5992e+22 4.9087e+14
3.3498e+22 4.9461e+14
3.0731e+22 4.9899e+14
2.7736e+22 5.0384e+14
2.4563e+22 5.0906e+14
2.1338e+22 5.1481e+14
1.8194e+22 5.2042e+14
1.5222e+22 5.2328e+14
1.2487e+22 5.1990e+14
1.0056e+22 5.0416e+14
7.9838e+21 4.6966e+14
6.2457e+21 4.1357e+14
4.8089e+21 3.3641e+14
3.6516e+21 2.5295e+14
2.7023e+21 1.8258e+14
1.9330e+21 1.4035e+14
1.2875e+21 1.1764e+14
6.8447e+20 1.0659e+14
1.9626e+20 1.0150e+14
